Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BAT,
"C1, C2, C3, C4, C5, C7",0603,6,4u7F,
"C10, C6, C9",0603,3,100nF,
C8,0603,1,0u22F,
"D1, D4",D_SOD-323,2,B5817WS,
"D10, D11, D12, D13, D2, D3, D5, D7, D8, D9",0603,10,WHITE,
D6,LED_RGB_1210,1,RGB,
"J1, J3, J5",PinHeader_1x02_P2.54mm_Vertical,3,PADS,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J4,5PinPogoFemale,1,POGO,
J6,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,JST-GH-4P,
L1,0603,1,2u2H,
"R1, R2",0603,2,5k1,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R25, R26, R27, R28, R3, R5, R6, R7, R8",0603,22,10k,
"R23, R9",0603,2,800k,
R24,0603,1,200k,
R4,0603,1,2M,
"SW1, SW2, SW3, SW5, SW6, SW7",MST-22D18G2 3J,6,SW_SPDT,
SW4,SW_Push_1P1T_XKB_TS-1187A,1,BUTTON,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,12,TestPoint,
"U1, U4",SOT65P210X110-6N,2,SMF05CT1G,
U2,SOT-23-5,1,M3406,
U3,SOT-23-6,1,BQ21040DBVR,
U5,LPCC-16,1,QMC5883L,
U6,XCVR_BC805M,1,BC805M,
U7,Bosch_LGA-14_3x2.5mm_P0.5mm,1,LSM6DSV,
